"DOCTYPE","DOCENTRY","LINENUM","CARDCODE","SALESEMPLOYEE","COUNTRYCODE","POSTINGDATE","DUEDATE","DOCUMENTDATE","ITEMCODE","WAREHOUSECODE","QUANTITY","SALESAMOUNT","SALESAMOUNTSC","BASEAMOUNT","GROSSPROFIT","GROSSPROFITSC","PERIOD","PROJECT"
13,650,0,"C00037",12,"IN","2020-05-01 00:00:00.000000000","2020-06-05 00:00:00.000000000","2020-06-05 00:00:00.000000000","SER0032","CI01","81.000000","178200.000000","178200.000000","0.000000","178200.000000","178200.000000","FY202021-02","CR|PJ176"
13,559,0,"C00024",9,"IN","2020-01-20 00:00:00.000000000","2020-02-04 00:00:00.000000000","2020-02-04 00:00:00.000000000","SER0014","CI01","1.000000","189883.000000","189883.000000","0.000000","189883.000000","189883.000000","FY201920-10","CR|PJ133"
13,777,1,"C00006",12,"IN","2020-10-20 00:00:00.000000000","2020-11-19 00:00:00.000000000","2020-11-19 00:00:00.000000000","SER0032","CI01","1.000000","142560.000000","142560.000000","0.000000","142560.000000","142560.000000","FY202021-07","CR|PJ172"
13,777,0,"C00006",12,"IN","2020-10-20 00:00:00.000000000","2020-11-19 00:00:00.000000000","2020-11-19 00:00:00.000000000","SER0031","CI01","1.000000","170000.000000","170000.000000","0.000000","170000.000000","170000.000000","FY202021-07","CR|PJ172"
13,521,0,"C00017",9,"IN","2019-11-25 00:00:00.000000000","2020-02-15 00:00:00.000000000","2019-12-30 00:00:00.000000000",,,"0.000000","520000.040000","520000.040000","520000.040000","0.000000","0.000000","FY201920-08","CR|PJ124"
13,764,0,"C00006",12,"IN","2020-10-05 00:00:00.000000000","2020-11-04 00:00:00.000000000","2020-11-04 00:00:00.000000000","SER0034","CI01","1.000000","136000.000000","136000.000000","0.000000","136000.000000","136000.000000","FY202021-07","CR|PJ165"
13,764,1,"C00006",12,"IN","2020-10-05 00:00:00.000000000","2020-11-04 00:00:00.000000000","2020-11-04 00:00:00.000000000","SER0034","CI01","1.000000","170000.000000","170000.000000","0.000000","170000.000000","170000.000000","FY202021-07","CR|PJ165"
13,805,0,"C00029",12,"IN","2020-10-20 00:00:00.000000000","2020-11-19 00:00:00.000000000","2020-11-19 00:00:00.000000000","SER0002","CI01","2.000000","260000.000000","260000.000000","0.000000","260000.000000","260000.000000","FY202021-07","CR|PJ180"
13,762,0,"C00006",12,"IN","2020-10-05 00:00:00.000000000","2020-12-10 00:00:00.000000000","2020-11-04 00:00:00.000000000","SER0032","CI01","132.000000","855360.000000","855360.000000","0.000000","855360.000000","855360.000000","FY202021-07","CR|PJ039"
13,755,0,"C00006",12,"IN","2020-09-21 00:00:00.000000000","2020-11-21 00:00:00.000000000","2020-10-21 00:00:00.000000000","SER0031","CI01","2.000000","340000.000000","340000.000000","0.000000","340000.000000","340000.000000","FY202021-06","CR|PJ172"
13,755,1,"C00006",12,"IN","2020-09-21 00:00:00.000000000","2020-11-21 00:00:00.000000000","2020-10-21 00:00:00.000000000","SER0032","CI01","2.000000","285120.000000","285120.000000","0.000000","285120.000000","285120.000000","FY202021-06","CR|PJ172"
