"DocEntry","LineNum","GroupNum","ExpnsCode","RelateType","StcCode","StaCode","staType","TaxRate","TaxAcct","TaxSum","TaxSumFrgn","TaxSumSys","BaseSum","BaseSumFrg","BaseSumSys","ObjectType","LogInstanc","TaxStatus","VatApplied","VatAppldFC","VatAppldSC","LineSeq","DeferrAcct","BaseType","BaseAbs","BaseSeq","DeductTax","DdctTaxFrg","DdctTaxSys","BaseAppld","BaseApldFC","BaseApldSC","NonDdctPrc","NonDdctAct","TaxInPrice","Exempt","TaxExpAct","OnHoldTax","OnHoldTaxF","OnHoldTaxS","InGrossRev","TaxSumOrg","TaxSumOrgF","TaxSumOrgS","OpenTax","OpenTaxFC","OpenTaxSC","Unencumbrd","TaxOnRI","RvsChrgPrc","RvsChrgTax","RvsChrgSC","RvsChrgFC"
11,4,-1,-1,1,"IGST@18","IGST@18",-120,"18.000000",,"24875.640000","0.000000","24875.640000","138198.000000","0.000000","138198.000000","17",0,"Y","0.000000","0.000000","0.000000",4,,-1,-1,,"24875.640000","0.000000","24875.640000","0.000000","0.000000","0.000000","0.000000",,"N","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","N","0.000000","0.000000","0.000000","0.000000"
12,0,-1,-1,1,"IGST@18","IGST@18",-120,"18.000000",,"30598.200000","0.000000","30598.200000","169990.000000","0.000000","169990.000000","17",0,"Y","0.000000","0.000000","0.000000",0,,-1,-1,,"30598.200000","0.000000","30598.200000","0.000000","0.000000","0.000000","0.000000",,"N","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","N","0.000000","0.000000","0.000000","0.000000"
86,0,-1,-1,1,"IGST@18","IGST@18",-120,"18.000000",,"198000.000000","0.000000","198000.000000","1100000.000000","0.000000","1100000.000000","17",0,"Y","0.000000","0.000000","0.000000",0,,-1,-1,,"198000.000000","0.000000","198000.000000","0.000000","0.000000","0.000000","0.000000",,"N","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","N","0.000000","0.000000","0.000000","0.000000"
103,0,-1,-1,1,"IGST@18","IGST@18",-120,"18.000000",,"18000.000000","0.000000","18000.000000","100000.000000","0.000000","100000.000000","17",0,"Y","0.000000","0.000000","0.000000",0,,-1,-1,,"18000.000000","0.000000","18000.000000","0.000000","0.000000","0.000000","0.000000",,"N","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","N","0.000000","0.000000","0.000000","0.000000"
95,0,-1,-1,1,"IGST@18","IGST@18",-120,"18.000000",,"35190.000000","0.000000","35190.000000","195500.000000","0.000000","195500.000000","17",0,"Y","0.000000","0.000000","0.000000",0,,-1,-1,,"35190.000000","0.000000","35190.000000","0.000000","0.000000","0.000000","0.000000",,"N","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","N","0.000000","0.000000","0.000000","0.000000"
98,0,-1,-1,1,"IGST@18","IGST@18",-120,"18.000000",,"162000.000000","0.000000","162000.000000","900000.000000","0.000000","900000.000000","17",0,"Y","0.000000","0.000000","0.000000",0,,-1,-1,,"162000.000000","0.000000","162000.000000","0.000000","0.000000","0.000000","0.000000",,"N","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","N","0.000000","0.000000","0.000000","0.000000"
49,0,-1,-1,1,"IGST@18","IGST@18",-120,"18.000000",,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","17",0,"Y","0.000000","0.000000","0.000000",0,,-1,-1,,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"N","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","N","0.000000","0.000000","0.000000","0.000000"
48,0,-1,-1,1,"IGST@18","IGST@18",-120,"18.000000",,"112320.000000","0.000000","112320.000000","624000.000000","0.000000","624000.000000","17",0,"Y","0.000000","0.000000","0.000000",0,,-1,-1,,"112320.000000","0.000000","112320.000000","0.000000","0.000000","0.000000","0.000000",,"N","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","N","0.000000","0.000000","0.000000","0.000000"
51,0,-1,-1,1,"IGST@18","IGST@18",-120,"18.000000",,"28080.000000","0.000000","28080.000000","156000.000000","0.000000","156000.000000","17",0,"Y","0.000000","0.000000","0.000000",0,,-1,-1,,"28080.000000","0.000000","28080.000000","0.000000","0.000000","0.000000","0.000000",,"N","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","N","0.000000","0.000000","0.000000","0.000000"
51,1,-1,-1,1,"IGST@18","IGST@18",-120,"18.000000",,"33696.000000","0.000000","33696.000000","187200.000000","0.000000","187200.000000","17",0,"Y","0.000000","0.000000","0.000000",1,,-1,-1,,"33696.000000","0.000000","33696.000000","0.000000","0.000000","0.000000","0.000000",,"N","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","N","0.000000","0.000000","0.000000","0.000000"
51,2,-1,-1,1,"IGST@18","IGST@18",-120,"18.000000",,"28080.000000","0.000000","28080.000000","156000.000000","0.000000","156000.000000","17",0,"Y","0.000000","0.000000","0.000000",2,,-1,-1,,"28080.000000","0.000000","28080.000000","0.000000","0.000000","0.000000","0.000000",,"N","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","N","0.000000","0.000000","0.000000","0.000000"
70,0,-1,-1,1,"IGST@18","IGST@18",-120,"18.000000",,"540000.000000","0.000000","540000.000000","3000000.000000","0.000000","3000000.000000","17",0,"Y","0.000000","0.000000","0.000000",0,,-1,-1,,"540000.000000","0.000000","540000.000000","0.000000","0.000000","0.000000","0.000000",,"N","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","N","0.000000","0.000000","0.000000","0.000000"
113,0,-1,-1,1,"IGST@18","IGST@18",-120,"18.000000",,"540000.000000","0.000000","540000.000000","3000000.000000","0.000000","3000000.000000","17",0,"Y","0.000000","0.000000","0.000000",0,,-1,-1,,"540000.000000","0.000000","540000.000000","0.000000","0.000000","0.000000","0.000000",,"N","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","N","0.000000","0.000000","0.000000","0.000000"
112,0,-1,-1,1,"IGST@18","IGST@18",-120,"18.000000",,"216000.000000","0.000000","216000.000000","1200000.000000","0.000000","1200000.000000","17",0,"Y","0.000000","0.000000","0.000000",0,,-1,-1,,"216000.000000","0.000000","216000.000000","0.000000","0.000000","0.000000","0.000000",,"N","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","N","0.000000","0.000000","0.000000","0.000000"
105,0,-1,-1,1,"IGST@18","IGST@18",-120,"18.000000",,"62233.380000","0.000000","62233.380000","345741.000000","0.000000","345741.000000","17",0,"Y","0.000000","0.000000","0.000000",0,,-1,-1,,"62233.380000","0.000000","62233.380000","0.000000","0.000000","0.000000","0.000000",,"N","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","N","0.000000","0.000000","0.000000","0.000000"
106,0,-1,-1,1,"IGST@18","IGST@18",-120,"18.000000",,"43200.000000","0.000000","43200.000000","240000.000000","0.000000","240000.000000","17",0,"Y","0.000000","0.000000","0.000000",0,,-1,-1,,"43200.000000","0.000000","43200.000000","0.000000","0.000000","0.000000","0.000000",,"N","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","N","0.000000","0.000000","0.000000","0.000000"
119,0,-1,-1,1,"0IGST","IGST@0",-120,"0.000000",,"0.000000","0.000000","0.000000","7200.000000","0.000000","7200.000000","17",0,"Y","0.000000","0.000000","0.000000",0,,-1,-1,,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",,"N","N",,"0.000000","0.000000","0.000000","N","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","N","N","0.000000","0.000000","0.000000","0.000000"
